År,De fire kardinalpunkter,De tre repræsentanter,Videnskabelig udvikling,Harmonisk Samfund,Tilpasse religion til socialismen,Standardisering/Normalisering,KKP,RAB,Patriotisme,Marxisme
1980,,,,,,,-8.21237478756726815302,-8.53430288245463050197,-8.21237478756726815302,
1981,-9.66266837551754154326,,,,,,-8.66266837551754154324,-10.66266837551754154326,,
1982,-10.08015130961408726449,,,,,-10.08015130961408726449,-8.49518880889293107261,-7.75822321472672490723,-9.08015130961408725667,-11.08015130961408728013
1983,,,,,,,-11.07614752802250526218,,-11.07614752802250526218,
1984,,,,,,-11.48633225276866442190,,-10.90136975204750822664,-9.90136975204750822663,
1985,,,,,,-9.23122118071118543565,-10.23122118071118543567,-8.23122118071118543564,-7.90929308582382308776,
1986,,,,,,,-8.43740531230729832958,-9.02236781302845451354,-8.02236781302845450978,
1987,-10.19936561685798163866,,,,,-8.49892589871688946781,-9.39201069480037752152,-8.87743752197061928399,-9.61440311613682544589,
1988,-12.24822408966847389897,,-11.24822408966847389895,,,-10.66326158894731771749,-8.78879247103117663636,-9.24822408966847389017,-9.92629599478111155108,
1989,-12.41230520495527203674,,-12.41230520495527203674,,,-11.41230520495527199741,-10.09037711006790964165,-9.24238020351295962137,-11.41230520495527199741,
1990,,,,,,,-8.29658850783395316647,-8.40350371175046511421,-8.51898092917040109397,
1991,-10.30651744524981880754,,,,,-12.62844554013718119198,-7.38051802669359565005,-8.58405142077872770722,-8.23612811735842085518,-12.62844554013718119198
1992,-12.16804526822408961235,,,,,-9.16804526822408960401,-9.16804526822408960401,-8.12365114886563616458,-12.16804526822408961235,
1993,,,,,,,-8.04220656012068939796,-8.19420965356573938291,,
1994,,,,,-9.71596199025514424163,-9.35339191087043599155,-8.13099948953398806016,-7.56912060192587314260,-7.71596199025514424161,-12.52331691231274837337
1995,-12.76424960536715976495,,,,-12.76424960536715976495,-10.76424960536715976493,-7.81005329498028454961,-8.08242556539341457751,-5.74188179233870524811,
1996,,,,,-9.10612668551537516228,,-9.23165756759923409333,-8.07637934212132312755,-7.19923608990685663082,-11.69108918623653137557
1997,-10.23840473932507890848,,-11.23840473932507890849,,-8.91647664443771656060,-8.91647664443771656060,-6.48351723716161036279,-7.71484278326806603616,-6.99047722588149341282,-8.91647664443771656060
1998,,,,,-9.98584193700334051390,-10.30777003189070285447,-8.22030719064036344404,-8.05984251844711735872,-7.55288252972723430601,
1999,-13.13089226980662359172,,,,-9.67146065116932631195,-11.13089226980662359169,-8.37600476764315501855,-8.13089226980662356335,-7.67146065116932630605,-13.13089226980662359172
2000,,,,,-9.96611717587785984696,-11.34462879913158964795,-10.34462879913158964795,-9.02270070424422730006,-8.57909405276861258976,
2001,,-9.13314221240060117092,,,-11.13314221240060118715,,-6.69019871655187286594,-8.25049916303875991128,-10.13314221240060117094,-11.13314221240060118715
2002,,-8.65192143953436730917,,-13.69631555889282078169,-9.23688394025552349062,-12.11135305817166460021,-8.41091334003057240541,-9.39863501025213567508,-9.44838804544923525761,-12.11135305817166460021
2003,,-8.00509486712276347763,-13.73301532168596267921,,-10.14805282096480648135,,-8.37546331706787896204,-8.73301532168596265460,-9.64555248043562324781,-11.41108722679860033132
2004,,-9.67187273345327129775,-13.67187273345327135662,-11.34994463856590897108,-12.08691023273211511239,,-8.71767642306639608095,-8.52212561394858923152,-11.08691023273211511239,-12.08691023273211511239
2005,,-10.45669665091605845440,-10.45669665091605845440,-6.81926673030076669245,-11.30469355747100845728,-12.62662165235837087815,-9.53915881110803139473,-8.58222753299991736305,-9.62662165235837080969,
2006,,-10.97751844462815906425,-10.97751844462815906425,-7.05468630515061895704,-11.56248094534931523117,,-9.39255594390700286338,-8.78112123182465561993,-9.97751844462815904969,-12.56248094534931527481
2007,,-12.62662165235837087815,-9.62662165235837080969,-6.16719003372107354309,-13.62662165235837087816,-13.62662165235837087816,-9.30469355747100845726,-9.45669665091605844426,-9.81926673030076669248,
2008,,-12.04371086334715601443,-9.23635594128955185476,-7.42900101923194774356,-13.04371086334715607536,,-9.72178276845979361781,-8.21928242793061038598,-11.45874836262599981267,-12.04371086334715601443
2009,,,-11.06956165195542025532,-8.19509253403927916927,-13.65452415267657646781,,-9.65452415267657643289,-7.67724422917665995605,-10.19509253403927917775,-13.65452415267657646781
2010,,,-8.94184791795923018825,-8.35688541723807400206,-11.81631703587537127722,-13.40127953659652745868,-10.40127953659652745865,-7.27199651965156098548,-10.40127953659652745865,
2011,,-13.18642379753894429537,-9.60146129681778801302,-8.27953320193042565840,-12.18642379753894422811,,-7.60146129681778800459,-7.54256760776421948929,-9.48598407939785203148,-13.18642379753894429537