År,Quanzhen,Longmen,Qiu Chuji,Forfinet kultivation,Initiation,Baiyunguan,Neidan,Zuobo,Kloster,Munke
1980,,-5.48990876309617706153,,,-5.77941538029116195461,-4.30548419195874962195,-6.44684004120429109086,,-10.53430288245463051804,
1981,,-8.34074028063017919536,,,,-8.07770587479638536178,-5.04795853140233332641,,-10.66266837551754154326,
1982,,-7.91022630817177489289,,,-8.49518880889293107261,-5.68783388683532696515,-6.75822321472672490566,,,
1983,,-6.68383010524374497324,,,-5.68383010524374497323,-5.07614752802250526163,-7.49118502730134908069,,,
1984,,-9.48633225276866440118,,,,-7.78589253462757224236,-6.16440415788130205327,,-10.48633225276866440119,-9.90136975204750822663
1985,,-10.23122118071118543567,,,,-5.32433058510266690628,-7.64625867999002925418,,,-8.64625867999002925419
1986,,-6.85244281158614214645,,,-10.02236781302845452106,-4.37851162325372981265,-6.85244281158614214645,,-6.11547721741993597968,
1987,,-8.11190277560764222240,,,,-5.44447811469451308295,-7.34138462173040950855,,,-12.19936561685798163867
1988,-11.24822408966847389895,-7.85590666688971360000,,,-12.24822408966847389897,-5.92629599478111153876,-6.96282187080622554627,,-11.24822408966847389895,
1989,-12.41230520495527203674,-7.76844901518054728432,,,-7.55432420982769985901,-4.97767697731854734576,-5.30378074817710292479,,,-12.41230520495527203674
1990,,-8.10394342989155727276,,,-4.93401842844924490763,-5.10394342989155727025,-6.10394342989155727076,,-11.10394342989155729661,
1991,-12.62844554013718119198,-7.41899217450823136068,,,,-6.07385668845954377018,-6.95602019816568555384,,-10.04348303941602496482,
1992,,-7.92011775478050410802,,-10.58308276750293343087,-9.58308276750293341979,-6.03876225127912314558,-7.77572784544532931391,,-11.16804526822408961233,
1993,,-7.77917215428689556120,,,-8.36413465500805174582,-6.04220656012068939507,-5.97181723222929145418,,,
1994,-12.52331691231274837337,-7.16576490769466465736,,,-6.85089157034125276028,-6.21953616413564542522,-6.56912060192587314121,,-9.93835441159159217773,-12.52331691231274837337
1995,-12.76424960536715976495,-8.51632209192357426583,,,-8.30481798672986250414,-7.14953976125195154181,-7.85735900975864122888,,,
1996,,-5.93620168407306279669,,,-6.35123918335190661554,-6.38730843805942841727,-8.04723299646180664543,,-11.10612668551537516230,-10.36916109134916900861
1997,,-7.33151414371656037912,,,-8.43104981726747480102,-6.84608731654631861789,-8.23840473932507890847,,,
1998,,-8.72280753116954667301,,,-7.66391384211597815724,-6.11794547301068562105,-8.84833841325340559493,,-11.30777003189070285448,-9.98584193700334051390
1999,-12.13089226980662359170,-8.22400167419810503646,,,-8.96096726836431120001,-6.21202903253202905037,-8.04342942855628415676,,-13.13089226980662359172,
2000,,-8.66655689401895199697,,,-12.08159439329779586440,-6.56852481105842527889,-6.04450507456257572823,,-10.66655689401895201459,-13.66655689401895210840
2001,,-8.88521469895701567457,,,-13.13314221240060128437,-6.21427897512600665515,-7.13314221240060116685,,-13.13314221240060128437,
2002,-13.69631555889282078169,-9.30399813611406046538,,,-8.83833456376524862790,-7.86342554472807907278,-7.00981503170960236523,,-12.11135305817166460021,
2003,,-9.48508780824237716470,,,-9.92566039962835855770,-7.82612472607744412691,-6.61407424896245522413,,-13.73301532168596267921,
2004,-12.67187273345327135662,-8.91698523128980274945,,,-9.08691023273211511236,-7.64950492042481678168,-5.88397017406183972059,,-12.08691023273211511239,
2005,,-7.20035689765627286070,,,-7.89870119779517161964,-7.39780296186248992305,-6.76864065723079867873,-13.62662165235837087816,-12.62662165235837087815,-12.62662165235837087815
2006,,-8.07062784901964051355,,,-9.97751844462815904969,-7.63174360778642894964,-6.66766318204137170772,-13.56248094534931527481,-13.56248094534931527481,-13.56248094534931527481
2007,,-10.04165915163721462064,,,-10.81926673030076669249,-8.41716828672942101735,-8.26906964774028710928,,,
2008,-12.04371086334715601443,-7.52014890729014308647,,,-8.95624802209681655240,-6.07792657868506891472,-6.48912201166951858648,,-13.04371086334715607536,-13.04371086334715607536
2009,-13.65452415267657646781,-8.44507078704762664568,,,-11.65452415267657646779,-6.71200964733733655077,-6.41611941335149751807,,-12.65452415267657646780,
2010,-12.40127953659652745868,-7.29275507981835838678,,,-10.07935144170916509518,-5.83903711237545478781,-5.79394922284691675047,,-12.40127953659652745868,
2011,,-7.32844280241137206329,,,-11.60146129681778802424,-7.25568645997605790860,-6.17519654211569006341,-13.18642379753894429537,-13.18642379753894429537,-13.18642379753894429537